titular_id,sentimiento,tickers_afectados,impacto_estimado,explicacion,analizado_en
1,-0.4,NVDA,bajo,Cuestionamiento sobre valoración de SpaceX genera duda sobre mercado tecnológico en general aunque no afecta directamente semiconductores.,2026-07-04T16:30:47.306448+00:00
2,-0.7,NVDA,medio,Advertencia sobre posible colapso del mercado alcista de Trump amenaza sectores tecnológicos incluyendo semiconductores.,2026-07-04T16:30:47.306453+00:00
3,0.6,NVDA,medio,Análisis comparativo de acciones de infraestructura IA posiciona a NVDA como actor central en debate de inversión tecnológica.,2026-07-04T16:30:47.306464+00:00
4,0.65,NVDA,medio,Salto de 20% en Nebius refleja interés en infraestructura de IA que beneficia indirectamente a proveedores como NVDA.,2026-07-04T16:30:47.306469+00:00
5,0.5,NVDA,bajo,Perspectiva alcista de Coinbase tiene correlación débil con sector semiconductores aunque refleja optimismo general en tech.,2026-07-04T16:30:47.306473+00:00
6,0.4,NVDA,bajo,Análisis de Green Thumb está desconectado del sector semiconductores y tiene impacto marginal en sentimiento de NVDA.,2026-07-04T16:30:47.306477+00:00
7,0.3,NVDA,bajo,Competencia en stablecoins tiene relevancia tangencial con semiconductores y afecta minimamente a NVDA.,2026-07-04T16:30:47.306487+00:00
8,0.8,NVDA,alto,Alianza estratégica entre Palantir y Nvidia en seguridad nacional subraya demanda crítica de chips y fortalece posición de NVDA.,2026-07-04T16:30:47.306491+00:00
9,0.7,NVDA,alto,Oportunidad de compra en caída de infraestructura IA posiciona a NVDA como activo fundamental durante correcciones de mercado.,2026-07-04T16:30:47.306499+00:00
10,0.85,NVDA,alto,"Recomendación positiva de compra para ETF de semiconductores con NVDA como componente principal, refuerza perspectiva alcista para 2026.",2026-07-04T16:30:58.397350+00:00
11,-0.3,NVDA,bajo,"Enfoque en sector automotriz (Toyota) con mención de NVDA relacionada marginalmente, impacto limitado en semiconductores.",2026-07-04T16:30:58.397878+00:00
12,0.7,NVDA,medio,Recomendación de dividendo para crecimiento a largo plazo sugiere confianza en solidez fundamental de NVDA.,2026-07-04T16:30:58.397994+00:00
13,0.8,NVDA,alto,Posición de NVDA como play agresivo en segunda onda de AI refuerza su rol central en tendencia tecnológica principal.,2026-07-04T16:30:58.398067+00:00
